  0.183,  0.061,  0.000,  0.000,  0.023,  0.000,  0.000,  0.000,  0.000,  0.000, -0.160,0,0,  0.000,  0.000,  0.000,  0.000, -0.000,  6.677,  6.677,1873.872
  0.183,  0.063,  0.000,  0.000,  0.038,  0.050,  0.000,  0.050,  0.000,  0.000, -0.145,0,0,  0.000,  0.000,  0.000,  0.000, -0.000,  3.195,  3.195,1873.876
  0.183,  0.062,  0.016,  3.208,  0.041,  0.100,  0.001,  0.084,  0.000,  0.000, -0.142,3,2,  0.001,  0.000,  0.000,  0.000,  0.000,  1.896,  1.896,1873.881
  0.183, -0.011,  0.048,  6.417,  0.039,  0.150,  0.002,  0.102,  0.000,  0.000, -0.145,8,7,  0.002,  0.000,  0.000,  0.000,  0.000,  1.482,  1.482,1873.886
  0.182, -0.263,  0.093,  8.983,  0.034,  0.200,  0.004,  0.107,  0.000,  0.000, -0.148,16,13,  0.004,  0.000,  0.000,  0.000,  0.000,  1.329,  1.329,1873.891
  0.179, -0.542,  0.148, 10.908,  0.029,  0.250,  0.006,  0.102,  0.000,  0.000, -0.151,25,21,  0.006, -0.000, -0.001,  0.000, -0.000,  1.232,  1.231,1873.896
  0.174, -0.993,  0.205, 11.550,  0.025,  0.300,  0.008,  0.095,  0.000,  0.000, -0.149,35,29,  0.008, -0.000, -0.002,  0.000, -0.001,  1.033,  1.031,1873.901
  0.167, -1.359,  0.273, 13.475,  0.021,  0.350,  0.011,  0.077,  0.000,  0.000, -0.147,46,39,  0.011, -0.000, -0.004,  0.000, -0.001,  0.911,  0.909,1873.906
  0.159, -1.676,  0.334, 12.192,  0.020,  0.400,  0.013,  0.066,  0.000,  0.000, -0.139,56,48,  0.013, -0.000, -0.004,  0.000, -0.001,  0.623,  0.621,1873.911
  0.149, -2.036,  0.401, 13.475,  0.017,  0.450,  0.016,  0.049,  0.000,  0.000, -0.131,67,58,  0.016, -0.000, -0.005,  0.000, -0.001,  0.463,  0.460,1873.916
  0.137, -2.320,  0.472, 14.117,  0.015,  0.500,  0.019,  0.028,  0.000,  0.000, -0.122,79,68,  0.019, -0.000, -0.006,  0.000, -0.002,  0.306,  0.302,1873.921
  0.124, -2.471,  0.523, 10.267,  0.019,  0.550,  0.021,  0.027,  0.000,  0.000, -0.105,87,76,  0.021, -0.000, -0.006,  0.000, -0.002, -0.105, -0.108,1873.926
  0.112, -2.264,  0.584, 12.192,  0.018,  0.600,  0.023,  0.016,  0.000,  0.000, -0.094,97,85,  0.023, -0.000, -0.008,  0.000, -0.002, -0.095, -0.099,1873.931
  0.102, -2.005,  0.635, 10.267,  0.021,  0.650,  0.025,  0.015,  0.000,  0.000, -0.082,106,92,  0.025, -0.000, -0.008,  0.000, -0.002, -0.187, -0.191,1873.936
  0.093, -1.854,  0.687, 10.267,  0.022,  0.700,  0.027,  0.013,  0.000,  0.000, -0.071,114,100,  0.027, -0.000, -0.008,  0.000, -0.002, -0.179, -0.184,1873.941
  0.084, -1.622,  0.741, 10.908,  0.021,  0.750,  0.030,  0.009,  0.000,  0.000, -0.063,123,108,  0.030, -0.000, -0.009,  0.000, -0.002, -0.086, -0.091,1873.946
  0.077, -1.451,  0.783,  8.342,  0.025,  0.800,  0.031,  0.017,  0.000,  0.000, -0.052,130,114,  0.031, -0.000, -0.009,  0.000, -0.002, -0.185, -0.190,1873.951
  0.070, -1.327,  0.834, 10.267,  0.024,  0.850,  0.033,  0.016,  0.000,  0.000, -0.047,138,122,  0.033, -0.000, -0.009,  0.000, -0.002, -0.046, -0.051,1873.956
