-0.055,-0.406,-0.026,-3.85,-1.209,-1.209,613.23,4.814,-0.2928223136,-4.4104292221,17.4,-898.4,36.5695425228,-520.286867539
-0.057,-0.319,-0.067,-8.342,-1.185,-1.185,613.235,4.819,-0.1418130412,-7.2611725498,51.2,-385,52.3856977874,-409.333574241
-0.057,-0.063,-0.119,-10.267,-1.132,-1.132,613.24,4.824,0.0945061129,-9.5891144528,70.8,-256.6,66.2032549866,-290.592453419
-0.055,0.291,-0.176,-11.55,-1.036,-1.036,613.245,4.829,0.4255076471,-11.226041937,91.2,-256.6,76.1209234328,-170.899551331
-0.052,0.747,-0.241,-12.833,-0.911,-0.911,613.25,4.834,0.833904882,-12.1134767405,108.4,0,80.286689282,-62.6154379764
-0.045,1.289,-0.305,-12.833,0,0,613.255,4.839,1.2806380084,-12.2949482269,105,0,77.668565806,20.9708324824
-0.036,1.814,-0.369,-12.833,0,0,613.26,4.844,1.7145644477,-11.9182840057,90.2,513.2,68.5588511517,70.7888338075
-0.025,2.265,-0.42,-10.267,0,0,613.265,4.849,2.0861536493,-11.2329957232,51.6,128.4,54.58794068,86.0688155351
-0.012,2.523,-0.468,-9.625,0,0,613.27,4.854,2.3617000762,-10.5286346413,6.8,128.4,38.254073584,75.9094395873
0.001,2.557,-0.513,-8.983,0,0,613.275,4.859,2.5314603962,-10.0250292004,11.4,-128.4,22.1776311627,57.5997364626
0.014,2.614,-0.561,-9.625,0,0,613.28,4.864,2.6067787878,-9.8002970085,-7.2,128.4,8.3750960237,52.136563408
0.027,2.578,-0.606,-8.983,0,0,613.285,4.869,2.6098587143,-9.7949535336,-4.6,0,-2.2203977979,78.1493106423
0.04,2.555,-0.651,-8.983,0,0,613.29,4.874,2.5647934598,-9.8355624476,-24.6,0,-9.9120179987,145.55501615
0.052,2.432,-0.696,-8.983,-0.992,-0.992,613.295,4.879,2.4930354975,-9.6297421631,-30.2,-385,-16.0863794259,250.521005657
0.064,2.281,-0.751,-10.908,1.052,1.052,613.3,4.884,2.4098849046,-8.784775674,-23.8,-128.4,-22.790723085,374.074273446
0.074,2.162,-0.808,-11.55,1.385,1.385,613.305,4.889,2.3182805361,-6.9634157672,2.8,1283.4,-32.083619688,486.590788775
0.085,2.176,-0.834,-5.133,1.541,1.541,613.31,4.894,2.2024497959,-4.147532323,-12.2,1155,-45.2816824217,557.78242156
0.113,1.549,-0.773,7.058,1.514,1.514,613.325,4.909,1.3724764385,5.4727402388,-96.4,256.8,-100.144738386,409.107534488
0.118,1.067,-0.731,8.342,1.338,1.338,613.33,4.914,0.857786414,7.4991858326,-152.4,0,-114.467095985,275.594258615
0.119,0.305,-0.69,8.342,1.057,1.057,613.335,4.919,0.2428409648,8.6913256031,-155.6,128.2,-121.515970145,136.771381848
0.117,-0.473,-0.645,8.983,0.793,0.793,613.34,4.924,-0.4216315794,9.1534846185,-137.6,128.4,-119.513403258,11.5548933777
0.111,-1.161,-0.597,9.625,0.549,0.549,613.345,4.929,-1.0727253675,9.0210019926,-121,-256.6,-108.411614499,-87.8221877639
0.102,-1.766,-0.555,8.342,0.231,0.231,613.35,4.934,-1.6510830483,8.4374991143,-108.4,-256.8,-89.8312208871,-155.559767106
0.09,-2.308,-0.52,7.058,-0.089,-0.089,613.355,4.939,-2.1121539603,7.5655800038,-48.4,-128.2,-66.5633409757,-190.927357553
0.077,-2.55,-0.488,6.417,-0.307,-0.307,613.36,4.944,-2.4336089494,6.5622418874,-9.8,-128.4,-41.8432460292,-196.665684795
0.064,-2.599,-0.459,5.775,-0.457,-0.457,613.365,4.949,-2.6173079171,5.5490556262,-16,-256.6,-18.6503395707,-177.678558648
