-0.053,-0.393,-0.006,-1.283,-1.544,-1.544,613.225,4.809,-0.3933068555,-1.2861880762,-2.6,-513.4,-2.6435582246,-512.732572525,20.0915557728,-624.320840413
-0.055,-0.406,-0.026,-3.85,-1.209,-1.209,613.23,4.814,-0.2928223136,-4.4104292221,17.4,-898.4,24.8677850708,-468.524411592,36.5695425228,-520.286867539
-0.057,-0.319,-0.067,-8.342,-1.185,-1.185,613.235,4.819,-0.1418130412,-7.2611725498,51.2,-385,50.5543944241,-395.715361991,52.3856977874,-409.333574241
-0.057,-0.063,-0.119,-10.267,-1.132,-1.132,613.24,4.824,0.0945061129,-9.5891144528,70.8,-256.6,72.163269256,-289.472653345,66.2032549866,-290.592453419
-0.055,0.291,-0.176,-11.55,-1.036,-1.036,613.245,4.829,0.4255076471,-11.226041937,91.2,-256.6,87.1366468591,-162.997013546,76.1209234328,-170.899551331
-0.052,0.747,-0.241,-12.833,-0.911,-0.911,613.25,4.834,0.833904882,-12.1134767405,108.4,0,93.1225779069,-35.3830525693,80.286689282,-62.6154379764
-0.045,1.289,-0.305,-12.833,0,0,613.255,4.839,1.2806380084,-12.2949482269,105,0,88.8483872722,70.3929058146,77.668565806,20.9708324824
-0.036,1.814,-0.369,-12.833,0,0,613.26,4.844,1.7145644477,-11.9182840057,90.2,513.2,75.1172034521,131.035239952,68.5588511517,70.7888338075
-0.025,2.265,-0.42,-10.267,0,0,613.265,4.849,2.0861536493,-11.2329957232,51.6,128.4,55.17129111,136.027926145,54.58794068,86.0688155351
-0.012,2.523,-0.468,-9.625,0,0,613.27,4.854,2.3617000762,-10.5286346413,6.8,128.4,33.6929569631,97.6702220631,38.254073584,75.9094395873
0.001,2.557,-0.513,-8.983,0,0,613.275,4.859,2.5314603962,-10.0250292004,11.4,-128.4,14.7419279572,43.4590886592,22.1776311627,57.5997364626
0.014,2.614,-0.561,-9.625,0,0,613.28,4.864,2.6067787878,-9.8002970085,-7.2,128.4,0.3551907099,0.6280856483,8.3750960237,52.136563408
