-0.053,-0.393,-0.006,-1.283,-1.544,-1.544,-0.3933068555,-1.2861880762,-2.6,-513.4,20.0915557728,-624.320840413
-0.055,-0.406,-0.026,-3.85,-1.209,-1.209,-0.2928223136,-4.4104292221,17.4,-898.4,36.5695425228,-520.286867539
-0.057,-0.319,-0.067,-8.342,-1.185,-1.185,-0.1418130412,-7.2611725498,51.2,-385,52.3856977874,-409.333574241
-0.057,-0.063,-0.119,-10.267,-1.132,-1.132,0.0945061129,-9.5891144528,70.8,-256.6,66.2032549866,-290.592453419
-0.055,0.291,-0.176,-11.55,-1.036,-1.036,0.4255076471,-11.226041937,91.2,-256.6,76.1209234328,-170.899551331
-0.052,0.747,-0.241,-12.833,-0.911,-0.911,0.833904882,-12.1134767405,108.4,0,80.286689282,-62.6154379764
-0.045,1.289,-0.305,-12.833,0,0,1.2806380084,-12.2949482269,105,0,77.668565806,20.9708324824
-0.036,1.814,-0.369,-12.833,0,0,1.7145644477,-11.9182840057,90.2,513.2,68.5588511517,70.7888338075
-0.025,2.265,-0.42,-10.267,0,0,2.0861536493,-11.2329957232,51.6,128.4,54.58794068,86.0688155351
-0.012,2.523,-0.468,-9.625,0,0,2.3617000762,-10.5286346413,6.8,128.4,38.254073584,75.9094395873
0.001,2.557,-0.513,-8.983,0,0,2.5314603962,-10.0250292004,11.4,-128.4,22.1776311627,57.5997364626
0.014,2.614,-0.561,-9.625,0,0,2.6067787878,-9.8002970085,-7.2,128.4,8.3750960237,52.136563408
0.027,2.578,-0.606,-8.983,0,0,2.6098587143,-9.7949535336,-4.6,0,-2.2203977979,78.1493106423
0.04,2.555,-0.651,-8.983,0,0,2.5647934598,-9.8355624476,-24.6,0,-9.9120179987,145.55501615
0.052,2.432,-0.696,-8.983,-0.992,-0.992,2.4930354975,-9.6297421631,-30.2,-385,-16.0863794259,250.521005657
0.064,2.281,-0.751,-10.908,1.052,1.052,2.4098849046,-8.784775674,-23.8,-128.4,-22.790723085,374.074273446
0.074,2.162,-0.808,-11.55,1.385,1.385,2.3182805361,-6.9634157672,2.8,1283.4,-32.083619688,486.590788775
0.085,2.176,-0.834,-5.133,1.541,1.541,2.2024497959,-4.147532323,-12.2,1155,-45.2816824217,557.78242156
0.096,2.115,-0.831,0.642,1.623,1.623,2.0295163141,-0.7416799809,-43,770,-62.3371795913,567.842410689
