0.051,0.079,0.026,3.85,0.536,0.536,912.604,2.675,0.079357919,3.8490707992,-5.8333333333,0,-5.8353032519,0.4441268561,-27.1646922785,-20.7826725387
0.051,0.044,0.045,3.85,0.461,0.461,912.61,2.681,-0.0836032331,3.724694066,-22.1428571429,183.285714286,-15.3463141311,-48.8855105135,-25.4963781927,-42.5357605144
0.051,-0.111,0.071,5.133,0.433,0.433,912.617,2.688,-0.2493955393,3.4758176625,-58.8571428571,-275,-21.0932534834,-88.2164536924,-23.4014151534,-61.1407891351
0.047,-0.523,0.087,3.208,0,0,912.624,2.695,-0.4086303101,3.0617591991,-19.4,-256.6,-21.3342917951,-105.067130992,-20.3844493678,-73.2291817066
0.043,-0.62,0.096,1.925,0,0,912.629,2.7,-0.5429367558,2.5577227092,-13.6,-128.4,-17.0315137454,-96.2154881639,-16.1462817883,-76.4149909848
0.04,-0.688,0.103,1.283,0,0,912.634,2.705,-0.637993206,2.0868025696,-6.4,128.4,-10.5774641757,-73.4972121294,-10.8953916941,-70.8079493994
0.036,-0.72,0.112,1.925,0,0,912.639,2.71,-0.6907433848,1.7212066382,7,-128.4,-4.1592577511,-51.592802282,-5.2758983785,-58.9419222969
0.033,-0.685,0.119,1.283,0,0,912.644,2.715,-0.7072419782,1.4599247921,3.8,128.4,1.0184074895,-36.3924761286,0.0016179229,-44.2325763228
0.03,-0.666,0.128,1.925,0,0,912.649,2.72,-0.6972486271,1.2720772183,1.6,-256.6,4.8098173449,-25.5092658496,4.4438288928,-29.619810987
0.026,-0.658,0.132,0.642,0,0,912.654,2.725,-0.6693773094,1.1386526332,5.6,128.2,7.6335737077,-15.4118585055,7.8359957821,-17.1807729916
0.023,-0.63,0.138,1.283,0,0,912.659,2.73,-0.6289907918,1.0590409395,9.4,-128.2,9.8463762942,-6.4860487124,10.1586966621,-8.3356119643
0.02,-0.583,0.141,0.642,0,0,912.664,2.735,-0.5791379939,1.0321917324,9.2,128.2,11.5111731704,-1.9553033257,11.4715016699,-4.0153657511
0.018,-0.537,0.148,1.283,0,0,912.669,2.74,-0.5224145527,1.0424521484,12.8,-128.2,12.4356475434,-4.9269391042,11.8409940833,-4.507179168
0.015,-0.473,0.151,0.642,0,0,912.674,2.745,-0.4623613868,1.0586057927,16.2,256.6,12.2901809887,-16.086528869,11.3309049561,-9.1366441715
0.013,-0.392,0.16,1.925,0,0,912.679,2.75,-0.4040185651,1.0418925102,17.25,-320.75,10.9065191396,-30.9898208898,10.0538234124,-16.1761607892
0.012,-0.323,0.164,0.642,0,0,912.683,2.754,-0.352961147,0.9678072533,4,0,8.5998953854,-43.4362617146,8.25395344,-23.1847870596
0.01,-0.299,0.167,0.642,0,0,912.689,2.76,-0.3131043814,0.8382962494,3.8,128.2,6.0578852979,-51.8759962213,6.2938079681,-27.5388551483
0.009,-0.28,0.173,1.283,0,0,912.694,2.765,-0.285255279,0.666366957,4.25,-160.25,3.8901860358,-54.8795760275,4.5195199902,-27.0800329147
0.008,-0.263,0.176,0.642,0,0,912.698,2.769,-0.2675232347,0.4765523047,0.6,-256.8,2.4169196071,-47.3009340444,3.1724542928,-21.087385527
0.006,-0.26,0.173,-0.642,0,0,912.703,2.774,-0.2565403622,0.3189052484,0.3333333333,214,1.7337282943,-29.1579971999,2.3828176336,-10.9768957196
0.005,-0.258,0.176,0.642,0,0,912.709,2.78,-0.2485048628,0.2414706431,2.6,-128.4,1.7526374078,-7.6742658108,2.1519353718,0.100643492
0.004,-0.245,0.176,0,0,0,912.714,2.785,-0.2400643934,0.2572720037,2.25,0,2.252776806,10.1775452767,2.3510866568,8.47250745
0.003,-0.236,0.176,0,0,0,912.718,2.789,-0.228904536,0.3497541656,2.2,128.4,2.9784586649,18.6266830909,2.785008315,11.2825617819
